COMMIT	UNIQUE_CWES	CWE_IDS
3d1956dc2fc6484701f5abaead8afa8092d4d805	5	78, 259, 330, 605, 703
3dfa18ae2365fc5eff32ef2bdb19b6225e9f16af	4	78, 259, 330, 703
3e14809acb04343810efd12f0d5c01b8473f02ff	4	78, 259, 330, 703
3e1a96516a2b5e7368684bb4eb3a31ac7aab6e93	5	78, 259, 330, 605, 703
3e2cccbb0d7a3835bcaea333f7fa8763e3cc4bec	5	78, 259, 330, 605, 703
3e628deb3a856696b8403dd2cda5afbb7f7e3b96	4	78, 259, 330, 703
3e6c93a026bcc6de9cd88b19bed186bded61fcbf	5	78, 259, 330, 605, 703
3e7bd31d8b5106addf7e638aca8b0147a6a1c7b2	5	78, 259, 330, 605, 703
3f34be3121be8fc7dd9225796a2efb01414539cf	4	78, 259, 330, 703
3f9aa455eb0888943bac337054cd0d317f3f4418	5	78, 259, 330, 605, 703
3fe1ae2a6750d3697ff63b648aaf525832887f56	4	78, 259, 330, 703
409ae684a7403a7a7a3a60c260a75b9909fdcbaa	4	78, 259, 330, 703
40c944c0457168749f66095e9b7e86f85c3fa709	5	78, 259, 330, 605, 703
416edfc018d94660091c930af7bbd6f808574873	5	78, 259, 330, 605, 703
41dbd32d78b8eca5063e0728354d8a605821ef1a	4	78, 259, 330, 703
422b1d16c1dd46a22ce971c6f2670603a22bdf97	5	78, 259, 330, 605, 703
4325f2c839e87da88ec2e8b19c9a643110918abf	4	78, 259, 330, 703
43ccd21b7087b6df47c468727c390e67cf1f2172	4	78, 259, 330, 703
44298eb10322cb73219ed2952ca6b2faa770220d	5	78, 259, 330, 605, 703
445ab2965c3574ddb023b4ef65ae9b79edc0450c	4	78, 259, 330, 703
447e02d9d89bbab2763ab99aac87ee5277b957bc	5	78, 259, 330, 605, 703
44dffaa1200845127b205fdd4c7d9b27d116e177	4	78, 259, 330, 703
451614b6620e98ab58a83b0c7a2c79aa941ea4da	5	78, 259, 330, 605, 703
4586252fffe94bf20795740605d8e3fdd47694ac	4	78, 259, 330, 703
463e9fb82bc6401efad8927a77ca67543e1f4339	4	78, 259, 330, 703
466a6751512a0951dd4b11703a547164dd824cda	4	78, 259, 330, 703
4741df44b4bed57d0e7326c33a3dec52a4c50183	4	78, 259, 330, 703
476fb94886a109a030a844e8fceead479f73470a	5	78, 259, 330, 605, 703
47f6013dd1fad4459f394f95c97ecb9ae4bb9e55	5	78, 259, 330, 605, 703
48072b41ace2c18636f965dc3ec40c8f79cbba02	5	78, 259, 330, 605, 703
48660664f952555aefa3122eaa26234ad63398f3	4	78, 259, 330, 703
48c1768d2f174c9a28042a439bc4a619adc58f0c	4	78, 259, 330, 703
48f287aff940b7f87bfbb0ac42bcd04bbf2372c8	5	78, 259, 330, 605, 703
4968dd62a794717fd3e45fd6754da358b0746f21	5	78, 259, 330, 605, 703
4a25bb28dd50bcdcfa3c09e1fa9a07d645581dae	4	78, 259, 330, 703
4a3cbb70bb254f8089c3a596ee220ff3f97f714f	4	78, 259, 330, 703
4a5aa070df3cf45ce9bbc14e0c6478faeeb59d46	4	78, 259, 330, 703
4a7234d4592166a1a13bc6b8e8b3b201019df23b	5	78, 259, 330, 605, 703
4a85c9a7e60e5a3f1a426fee432dfb020387d63e	4	78, 259, 330, 703
4abf64c592f00ce2c13bd11ecad1696dc9ea8e6c	5	78, 259, 330, 605, 703
